Array Design Name	Affymetrix GeneChip Human Genome HG-U133B [HG-U133B]
Comment[AdditionalFile:CDF]	HG-U133B.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-34
Comment[SubmittedName]	Affymetrix GeneChip Human Genome HG-U133B [HG-U133B]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	http://mged.sourceforge.net/ontologies/MGEDOntology.daml#in_situ_oligo_features
Technology Type Term Source REF	mo:1.1.3
Surface Type	glass
Term Source Name	mo:1.1.3	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	entrez_protein	gpcrdb	interpro	kegg	locus	omim	pfam	pkr_hanks	refseq	scop	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=Protein	http://www.gpcr.org/	http://www.ebi.ac.uk/interpro	http://www.genome.ad.jp/kegg/	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www3.ncbi.nlm.nih.gov/omim	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version	1.1.3																	
Comment[AdditionalFile:txt]	A-AFFY-34_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[blocks]	Composite Element Database Entry[entrez_protein]	Composite Element Database Entry[scop]	Composite Element Database Entry[refseq]	Composite Element Database Entry[pfam]	Composite Element Database Entry[omim]	Composite Element Database Entry[unigene]	Composite Element Database Entry[locus]	Composite Element Database Entry[interpro]	Composite Element Database Entry[swall]	Composite Element Database Entry[kegg]	Composite Element Database Entry[ec]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]	Composite Element Database Entry[gpcrdb]
242907_at	BF509371	Msa.37791.0_s_at		IPB000897	87610	d1f5na2	NM_004120	GBP_C	600412	Hs.171862	2634	IPR003191	P32456					
242908_x_at	R46483	242908_x_at								Hs.23187								
242909_at	AI802969	242909_at								Hs.149089								
242910_x_at	T89089	242910_x_at								Hs.13287								
242911_at	AW999644	242911_at								Hs.300949			Q9UHV7					
242912_at	AI041215	242912_at																
242913_at	AW816405	242913_at					NM_053277			Hs.353146	54102	IPR004046	Q9NVF8					
242914_at	AI218448	242914_at								Hs.121285								
242915_at	AA603590	242915_at	ENSG00000067972	IPB001222	4235142		NM_033196	zf-C2H2		Hs.306298	91120	IPR000822	Q8NCC0					
242916_at	AA642477	242916_at								Hs.429909								
242917_at	AI884701	164022_i_at			21754334		NM_145313	RasGEF		Hs.125293	221002	IPR001895	Q9D3B6					
242918_at	AU144734	101108_at			13435642		NM_172164	TPR	603185	Hs.380400	4678	IPR001440	Q9P1N1					
242919_at	AV683221	242919_at	ENSG00000168892							Hs.201677	114977	IPR001909	Q96MD7					
242920_at	AW590838	242920_at								Hs.429591								
242921_at	AI655127	242921_at	ENSG00000167037							Hs.209612		IPR004012	Q8TF60					
242922_at	AU151198	aa221928_s_at	ENSG00000103226		20981711		NM_014287			Hs.227823	23420		Q15155					
242923_at	AW027457	242923_at								Hs.30323								
242924_at	T97544	242924_at								Hs.253840								
242925_at	BE044562	242925_at								Hs.407230			Q9D3V4					
242926_at	AI798124	242926_at								Hs.173939								
242927_at	AI658489	AA120542_at	ENSG00000152455	IPB003888	21740272	d1g6za_	NM_024670	SET	606503	Hs.85567	79723	IPR003616	Q9H5I1					
242928_at	AI733428	242928_at								Hs.129003								
242929_at	AW275093	242929_at								Hs.372278								
242930_at	BF345392	168285_i_at	ENSG00000092094	IPB000905	8923380		NM_017807	Peptidase_M22		Hs.108894	55644	IPR000905	Q9NPF4		3.4.24.57			
242931_at	AI218358	242931_at								Hs.175048								
242932_at	AW292329	242932_at								Hs.163481								
242933_at	AI016631	242933_at								Hs.144078								
242934_at	AA780365	242934_at								Hs.122161								
242935_at	BE778113	242935_at								Hs.289018		IPR001849	Q9Z2D2					
242936_at	H94882	242936_at								Hs.165357								
242937_at	AV763408	92413_at	ENSG00000141568	IPB001766	4758600	d1d5va_	NM_004514	Fork_head	147685	Hs.296281	3607	IPR001766	Q01167					
242938_s_at	AV763408	Msa.20342.0_s_at	ENSG00000141568	IPB001766	4758600	d1d5va_	NM_004514	Fork_head	147685	Hs.296281	3607	IPR001766	Q01167					
242939_at	AI950069	242939_at								Hs.405823								
242940_x_at	AA040332	98866_at	ENSG00000006377	IPB000327	6014979	d2hdda_	NM_005222	homeobox	600030	Hs.249196	1750							
242941_x_at	AI198532	242941_x_at	ENSG00000004020	PR00049	5174711	d1xbra_	NM_080647	T-box	602054	Hs.173984	6899	IPR001699	Q99P22					
242942_at	BE541641	242942_at	ENSG00000157637	IPB002091	21751771		NM_138570	Aa_trans		Hs.381200	124565	IPR002422	Q9HBR0					
242943_at	AA352113	242943_at								Hs.152049			Q8WV90					
242944_at	BG438092	242944_at	ENSG00000147689		14249666		NM_032899			Hs.272068	84985		Q96I47					
242945_at	AI860568	242945_at			22066321		NM_017565			Hs.144633	54757		AAH36222					
242946_at	AW293276	242946_at								Hs.128848								
242947_at	BF447963	242947_at								Hs.170756								
242948_x_at	T97602	242948_x_at								Hs.419208								
242949_x_at	AA809353	242949_x_at								Hs.433105								
242950_x_at	AW969652	242950_x_at								Hs.291236								
242951_at	AA702961	242951_at								Hs.387551			Q8N9C0					
242952_at	AA642385	242952_at								Hs.371930								
242953_at	BE909177	242953_at								Hs.208230								
242954_at	BF509843	242954_at								Hs.433111								
242955_x_at	W86826	242955_x_at																
242956_at	AA564352	242956_at																
242957_at	AI862096	242957_at			22749431	d1emo_1	NM_152718	vwc		Hs.60640	220001	IPR001881	Q96DN2					
242958_x_at	R40759	242958_x_at								Hs.167361								
242959_at	AW236561	242959_at								Hs.177264								
242960_at	AA721240	242960_at								Hs.111030								
242961_x_at	AI304317	242961_x_at	ENSG00000107201	IPB000330	9957597	d1hv8a1	NM_014314	helicase_C		Hs.145612	23586	IPR001650	O95786		3.1.21.5			
242962_at	AW438779	242962_at								Hs.250596								
242963_at	AI160370	242963_at			21312748		NM_152621			Hs.353519	166929		Q8NHU3					
242964_at	AI421677	242964_at								Hs.161332								
242965_at	AI923944	242965_at								Hs.30913								
242966_x_at	AW341515	242966_x_at								Hs.193191								
242967_at	AI264125	242967_at																
242968_at	AI791138	242968_at								Hs.116768								
242969_at	AI288679	242969_at								Hs.101139								
242970_at	AA252762	242970_at								Hs.31235								
242971_at	BF514491	242971_at	ENSG00000162489							Hs.29131	57540	IPR003392	Q9UJD6					
242972_at	AI022648	242972_at								Hs.59970								
242973_at	F11066	242973_at								Hs.202151								
242974_at	AA446657	242974_at											Q96HL9					
242975_s_at	AV753357	rc_AI237836_g_at	ENSG00000087460	IPB000251	9506737	d1cipa2	NM_080426	G-alpha	139320	Hs.374523	2778	IPR001019	O75633					
242976_at	AA281619	242976_at								Hs.407153								
242977_at	AW297972	242977_at								Hs.112819								
242978_x_at	N57929	242978_x_at								Hs.48100								
242979_at	AI474666	242979_at								Hs.257786								
242980_at	AI924510	242980_at								Hs.295855								
242981_at	N79601	242981_at																
242982_x_at	AW131039	242982_x_at	ENSG00000105855	IPB001886	4504779	d1jv2b2	NM_002214	integrin_B	604160	Hs.355722	3696	IPR003659	Q9BUG9					
242983_at	AI806626	242983_at								Hs.207300								
242984_at	BF723626	242984_at								Hs.223550								
242985_x_at	H05502	242985_x_at								Hs.109843			Q8NBD1					
242986_at	BF513384	242986_at								Hs.319879								
242987_x_at	AI362764	242987_x_at								Hs.244352								
242988_at	AA292913	242988_at			21757240		NM_144622			Hs.97341	127579		Q8N1J0					
242989_at	AA971931	242989_at								Hs.127486								
242990_at	AL038704	242990_at								Hs.156827								
242991_at	BE501903	U75916_at	ENSG00000119139	IPB001478	4759342	d1kjwa2	NM_004817	PDZ		Hs.75608	9414	IPR005417	Q8NI14					
242992_at	BF797956	242992_at	ENSG00000152443	IPB001275	20819767		NM_138347	zf-C2H2		Hs.184846	90233	IPR001909	P17034					
242993_at	AI215629	242993_at								Hs.372035			Q9UI50					
242994_at	AI125522	rc_AA945902_at	ENSG00000078618	IPB000135	4505453	d1bcca1	NM_002525	Peptidase_M16	602651	Hs.4099	4898	IPR001431	Q96HB2		3.4.24.61			
242995_at	AW976347	242995_at								Hs.76966								
242996_at	AI341686	242996_at								Hs.367977			Q8N6Z2					
242997_at	AW664311	242997_at								Hs.259498								
242998_at	AI796235	242998_at			22748935	d1b16a_	NM_152443	adh_short		Hs.21299	145226	IPR002347	Q9Y391		1.1.1.56			
242999_at	AI990366	rc_AA875133_at		PR00499	4505573	d1qwea_	NM_145735	SH3	605477	Hs.172813	8874	IPR001849	Q14155					
243000_at	AW194766	243000_at								Hs.388761								
243001_at	AI655095	243001_at																
243002_at	BE466429	243002_at								Hs.270101								
243003_at	AV702197	243003_at								Hs.69606								
243004_at	AI939547	243004_at																
243005_at	AI378685	243005_at								Hs.135058								
243006_at	BG222258	243006_at								Hs.208965								
243007_at	AA835417	243007_at								Hs.98553								
243008_at	AV730473	243008_at								Hs.283521								
243009_at	AW513654	243009_at								Hs.372453								
243010_at	BE000929	1435521_at		IPB002004	21752839	d1hd1a_	NM_170721	rrm		Hs.103512	124540	IPR000504	Q8N9T4					
243011_at	BF317081	243011_at			21450781		NM_145037			Hs.258208	91775		Q969Y0					
243012_at	BF196252	243012_at								Hs.170399								
243013_at	AW439817	243013_at								Hs.162167								
243014_at	AA705105	243014_at								Hs.188489								
243015_at	AW964006	243015_at								Hs.432916								
243016_at	AW271958	243016_at								Hs.87491								
243017_at	AA032156	243017_at								Hs.61622								
243018_at	AI128388	243018_at								Hs.143655								
243019_at	BE504172	243019_at								Hs.212872								
243020_at	R06738	243020_at								Hs.313097								
243021_at	AI344101	243021_at								Hs.132159								
243022_at	BF509158	243022_at								Hs.207144								
243023_at	N34402	243023_at								Hs.27996								
243024_at	AI024029	rc_AI013250_s_at	ENSG00000160908	IPB001293	19263643		NM_032164	zf-C2H2		Hs.284168	84124	IPR003309	Q9HA37					
243025_at	AL119189	243025_at																
243026_x_at	BE380045	243026_x_at								Hs.356076								
243027_at	AI824021	243027_at								Hs.44373								
243028_x_at	BE045392	243028_x_at								Hs.390707								
243029_at	AL533967	243029_at								Hs.310729								
243030_at	AA211369	243030_at								Hs.269493								
243031_at	N90377	243031_at								Hs.163615								
243032_at	AI476542	243032_at								Hs.146100								
243033_at	AA827894	243033_at								Hs.189075								
243034_at	AI963150	243034_at								Hs.223813								
243035_at	AA994064	243035_at								Hs.98588								
243036_at	AW364693	243036_at								Hs.133077								
243037_at	AA830144	243037_at								Hs.135613								
243038_at	AW292769	243038_at								Hs.206228			Q99J64					
243039_at	AI042377	243039_at								Hs.132156								
243040_at	AA760776	243040_at																
243041_s_at	AI217028	243041_s_at								Hs.126083								
243042_at	BE645144	243042_at								Hs.374411								
243043_at	BF540795	243043_at								Hs.369076								
243044_at	AI962305	243044_at								Hs.223742								
243045_at	N75296	243045_at							606846	Hs.129982	150572		Q8NB12					
243046_at	BF679700	243046_at								Hs.270366								
243047_at	AV698751	1451234_at	ENSG00000146067							Hs.111279	54540		Q9NW00					
243048_at	AA521486	243048_at								Hs.125761	27438							
243049_at	AI791225	w42020_at	ENSG00000162632		4505357		NM_002489		603833	Hs.50098	4697		Q9D0W3					
243050_at	BG232090	243050_at								Hs.193864								
243051_at	AW135412	243051_at								Hs.240085								
243052_at	AA203139	243052_at			21748594		NM_145279	Mob1_phocein		Hs.97927	148932	IPR005301	Q96BX8					
243053_x_at	AW044603	243053_x_at																
243054_at	BF196963	243054_at								Hs.255096								
243055_at	BF514072	243055_at								Hs.221069								
243056_at	AI301111	243056_at								Hs.150179								
243057_at	AI923673	243057_at								Hs.212827								
243058_at	AI346930	243058_at								Hs.149728								
243059_at	AI680624	243059_at								Hs.408919								
243060_at	R59989	243060_at								Hs.176539								
243061_at	AI149986	243061_at								Hs.92556								
243062_at	AV694665	243062_at			22907034		NM_144997		607273	Hs.172702	201163		Q96BE4					
243063_at	BF109773	243063_at								Hs.114508								
243064_at	BF055279	243064_at								Hs.194300			Q9UI85					
243065_at	AA809449	243065_at								Hs.278177								
243066_at	AW119018	243066_at								Hs.164231								
243067_at	BG290999	243067_at								Hs.314177								
243068_at	AW166847	243068_at								Hs.176854								
243069_at	AL040222	243069_at								Hs.169982								
243070_at	AI954752	243070_at			8923291		NM_017759			Hs.87138	54891		Q9NXD5					
243071_at	AA167270	243071_at								Hs.130435								
243072_at	AI733828	243072_at								Hs.145575								
243073_at	AW070391	243073_at								Hs.405915								
243074_at	N48990	243074_at								Hs.37204								
243075_at	AW292940	243075_at								Hs.290115								
243076_x_at	BF002450	243076_x_at		IPB001275	87507		NM_138465	zf-C2H2	165280	Hs.239451	2738	IPR000822	GLI4_HUMAN					
243077_at	AW664702	243077_at								Hs.257168								
243078_at	AW006258	243078_at								Hs.370451								
243079_x_at	BE672168	243079_x_at								Hs.279472								
243080_at	AI684854	243080_at								Hs.194084								
243081_at	AA824282	243081_at								Hs.308904								
243082_at	AA706950	243082_at								Hs.191230								
243083_at	AI693542	243083_at								Hs.104682								
243084_at	AA705063	243084_at								Hs.354805								
243085_at	AW237045	243085_at								Hs.252837								
243086_at	AI288715	243086_at								Hs.270126								
243087_at	AI860874	243087_at			21553321		NM_145172	WD40		Hs.97933	126820	IPR001680	Q96L72					
243088_at	W84667	243088_at								Hs.134441								
243089_at	AA551114	243089_at								Hs.373857								
243090_at	AA534466	243090_at								Hs.159585								
243091_at	BF435599	243091_at								Hs.232168								
243092_at	AI140189	243092_at								Hs.123191								
243093_at	AV683529	243093_at								Hs.303899			Q9UI50					
243094_at	BF509416	243094_at								Hs.202395								
243095_at	AW451624	243095_at								Hs.178202								
243096_at	AW138739	243096_at								Hs.148576								
243097_x_at	R55769	243097_x_at								Hs.124952								
243098_at	AW450033	243098_at								Hs.406256								
243099_at	AW271350	163412_at	ENSG00000167087		23398607		NM_145912			Hs.156336	150372		Q8N1J4					
243100_at	AA974253	243100_at			24308358		NM_033253			Hs.120319	93034		Q96M25	MAP00760	3.1.3.5			
243101_x_at	AW294701	243101_x_at								Hs.31040								
243102_at	AI911957	243102_at								Hs.213037								
243103_at	BG029389	243103_at								Hs.202129								
243104_at	AW136378	243104_at								Hs.22488								
243105_at	BE219151	243105_at								Hs.279701								
243106_at	AA916861	243106_at								Hs.190519								
243107_at	AI910590	243107_at								Hs.370036								
243108_at	AW297762	243108_at								Hs.128151								
243109_at	AA748418	243109_at			8922917		NM_018349	C2		Hs.33368	55784	IPR000504	Q9NUS2					
243110_x_at	AI868441	243110_x_at								Hs.233533			Q8N729					
243111_at	AF150317	243111_at								Hs.96978			Q9BTQ6					
243112_at	AW419349	243112_at								Hs.380786								
243113_at	AI701590	243113_at								Hs.405840								
243114_at	BE671117	243114_at								Hs.361171								
243115_at	AI633618	243115_at																
243116_at	AI923090	243116_at								Hs.23349								
243117_at	AL038973	243117_at								Hs.144873								
243118_at	AW592456	243118_at								Hs.61425								
243119_at	AA810156	243119_at								Hs.225190								
243120_at	AI459261	243120_at								Hs.369527								
243121_x_at	AI869296	243121_x_at								Hs.371431								
243122_at	H18468	243122_at								Hs.25791								
243123_at	BF732649	243123_at								Hs.257008								
243124_at	AI919493	aa387967_s_at			17986268		NM_079837			Hs.352397	54971		Q9NSS6					
243125_x_at	R43896	243125_x_at								Hs.143805								
243126_x_at	AW452782	243126_x_at								Hs.121592								
243127_x_at	N26569	243127_x_at								Hs.183803								
243128_at	AI684437	243128_at								Hs.58774			Q96I70					
243129_at	BF056529	243129_at								Hs.76704								
243130_at	AA534722	243130_at								Hs.191701								
243131_x_at	AW293961	243131_x_at								Hs.255256								
243132_at	AA779333	243132_at								Hs.20158								
243133_at	AW135965	1456132_x_at		IPB000580	5174729		NM_006022	TSC22		Hs.114360	8848	IPR000580	Q96DE6					
243134_at	AW190862	243134_at								Hs.271019								
243135_x_at	R26456	243135_x_at								Hs.409155								
243136_at	AI420074	243136_at								Hs.222171								
243137_at	AW451838	1452293_at	ENSG00000120451	IPB001683	7662026		NM_014758	PXA		Hs.76906	9795	IPR003114	Q92543					
243138_at	BF196924	243138_at																
243139_at	N71087	243139_at								Hs.268806								
243140_at	AI917901	243140_at								Hs.208641								
243141_at	D31421	1429029_at			18559237		NM_152621			Hs.353519	166929		Q8NHU3					
243142_at	AA825712	243142_at								Hs.170623	55785	IPR001849	Q96D44					
243143_at	AI810124	243143_at								Hs.369829								
243144_at	AI393345	243144_at								Hs.116215								
243145_at	AI075053	243145_at								Hs.372172								
243146_at	BF221864	243146_at								Hs.289389								
243147_x_at	AW118707	243147_x_at								Hs.329686								
243148_at	AA007423	243148_at								Hs.50382								
243149_at	AI467945	243149_at								Hs.173696								
243150_at	AI630830	243150_at																
243151_at	BG438112	243151_at								Hs.186776								
243152_at	AW291930	243152_at	ENSG00000115624		5729779		NM_006710			Hs.75193	10920	IPR000717	Q99627					
243153_at	T90566	243153_at								Hs.191212								
243154_at	AA215381	243154_at								Hs.86650								
243155_at	AW292508	243155_at								Hs.158714								
243156_at	AI056787	243156_at								Hs.38894								
243157_at	BF435124	243157_at								Hs.135226								
243158_at	AV700081	243158_at								Hs.284614								
243159_x_at	AI247495	243159_x_at								Hs.119555								
243160_at	N92818	243160_at								Hs.64754								
243161_x_at	N32798	243161_x_at								Hs.335787		IPR000822	Q8WXE2					
243162_at	AI140860	243162_at								Hs.368336								
243163_at	AI290919	243163_at								Hs.153661								
243164_s_at	AI742982	243164_s_at								Hs.87384								
243165_at	N23069	243165_at								Hs.403975								
243166_at	AA836340	243166_at	ENSG00000145740	IPB002524	20070323		NM_024055	Cation_efflux		Hs.129445	64924	IPR002524	Q9BY48					
243167_at	AL040763	243167_at								Hs.310735								
243168_at	AI916532	243168_at																
243169_at	AA702415	243169_at								Hs.117869								
243170_at	AW291545	243170_at								Hs.102406								
243171_at	AA570178	243171_at								Hs.105944								
243172_at	AI079944	243172_at								Hs.45091								
243173_at	AI989906	1436141_at	ENSG00000100319	IPB000571	9506863		NM_019103	zf-CCCH		Hs.38628	55954	IPR000571	Q9UDW3					
243174_at	AI733637	243174_at								Hs.55415								
243175_at	BF696056	243175_at								Hs.177653								
243176_at	AI636016	243176_at								Hs.85564								
243177_at	AI912225	243177_at								Hs.370055								
243178_at	AW969703	243178_at								Hs.142074								
243179_at	BG231554	243179_at								Hs.59962								
243180_at	AW452392	243180_at								Hs.40268								
243181_at	BF195940	243181_at								Hs.83293	54467	IPR002867	Q9NW49					
243182_at	AA601042	243182_at								Hs.126941								
243183_at	R49462	243183_at								Hs.106541								
243184_at	AW173166	243184_at								Hs.370868								
243185_at	AA804267	243185_at								Hs.163111			Q96IG1					
243186_at	AI523857	243186_at								Hs.232257			Q96Q34					
243187_at	AA888821	243187_at								Hs.326371								
243188_at	AI753038	243188_at								Hs.205274			ZF14_MOUSE					
243189_at	AI694720	243189_at								Hs.202007								
243190_at	AI654853	243190_at								Hs.197066								
243191_at	BE044588	243191_at								Hs.355747								
243192_at	AA683356	243192_at								Hs.371764								
243193_at	AI248850	243193_at								Hs.115261								
243194_at	BF438407	243194_at								Hs.308199								
243195_s_at	BF438407	243195_s_at	ENSG00000152443	IPB001275	20819767		NM_138347	zf-C2H2		Hs.184846	90233	IPR001909	Q9BRY1					
243196_s_at	BF223703	AA168469_f_at	ENSG00000135148				NM_006700			Hs.5148	10906	IPR000822	O14545					
243197_at	AI150518	243197_at								Hs.143629								
243198_at	AA020920	243198_at	ENSG00000138587	IPB001101	8922950		NM_018365			Hs.132851	55329		AAH34991				Q27480	
243199_at	BF512915	243199_at								Hs.210295								
243200_at	AI631224	243200_at								Hs.194980								
243201_at	BF061744	243201_at								Hs.298724								
243202_at	BE672014	243202_at								Hs.255319								
243203_at	BE884916	243203_at								Hs.259032								
243204_at	AA682263	243204_at								Hs.332916								
243205_at	AW014327	243205_at								Hs.221951								
243206_at	BE082914	243206_at								Hs.132106								
243207_at	AV724916	243207_at								Hs.315270								
243208_x_at	AI028227	243208_x_at								Hs.209206		IPR004000	Q8TC94					
243209_at	BF725804	243209_at	ENSG00000117013	PR01333	9789989		NM_172163	ion_trans	603537	Hs.241376	9132	IPR005820	P56696					
243210_at	BF062694	aa266377_s_at	ENSG00000165699		4507693		NM_000368		605284	Hs.79393	7248		Q92574				Q27480	
243211_at	H06497	243211_at								Hs.101654								
243212_at	BF510109	243212_at								Hs.283642								
243213_at	BF508977	243213_at								Hs.225033			Q8N2X9					
243214_at	AW629462	243214_at								Hs.143723			Q9D0G6					
243215_at	BF508208	243215_at								Hs.240074								
243216_x_at	T87178	243216_x_at								Hs.196701								
243217_at	AI681312	243217_at								Hs.140553								
243218_at	AI424847	243218_at								Hs.161434								
243219_x_at	R55836	169709_r_at			21618939		NM_019051			Hs.288224	54534		Q8N5N7					
243220_at	BE465243	243220_at								Hs.12664								
243221_at	AA579773	243221_at								Hs.115930								
243222_at	AW295340	243222_at								Hs.18861								
243223_at	AA453526	243223_at								Hs.143077								
243224_at	AW292974	243224_at								Hs.87856								
243225_at	AI042341	243225_at								Hs.46814								
243226_at	N53548	243226_at								Hs.118076								
243227_at	AI203608	243227_at								Hs.144496								
243228_at	BF980709	243228_at	ENSG00000125484		6912400		NM_012204		604892	Hs.22302	9329		Q9UKN8					
243229_at	AI147535	243229_at								Hs.143769								
243230_at	AA918375	243230_at								Hs.257266								
243231_at	N62096	243231_at								Hs.293185			Q8N887					
243232_at	AW139588	243232_at								Hs.301870								
243233_at	AI701943	243233_at								Hs.292669								
243234_at	BG055137	243234_at								Hs.129895								
243235_at	AI733583	243235_at								Hs.130612								
243236_at	AA807545	243236_at								Hs.125440								
243237_at	BF110426	243237_at								Hs.144510								
243238_at	AA601213	243238_at								Hs.191798								
243239_at	AI033500	243239_at	ENSG00000100347				NM_015380			Hs.4877	25813		Q9Y512					
243240_at	R37780	243240_at								Hs.21422								
243241_at	AW341473	243241_at																
243242_at	BE856562	243242_at								Hs.159750								
243243_at	R07953	243243_at																
243244_at	H22005	243244_at								Hs.31864								
243245_at	AA459099	243245_at								Hs.99743								
243246_at	AI478235	243246_at								Hs.165465								
243247_at	AI075194	243247_at																
243248_at	AI810086	243248_at								Hs.190261								
243249_at	AL040360	243249_at								Hs.162203								
243250_at	AI922173	243250_at								Hs.188569								
243251_at	AA933081	243251_at								Hs.188712								
243252_at	AA173465	243252_at								Hs.406072								
243253_at	AA699346	243253_at								Hs.191907								
243254_at	T08739	243254_at								Hs.169541								
243255_at	AW300085	243255_at																
243256_at	AW796364	243256_at								Hs.187665								
243257_at	AA806776	243257_at								Hs.374243								
243258_at	AW291521	162889_at			24308019		NM_015229			Hs.22616	23277	IPR002086	Q9H979					
243259_at	AW081604	243259_at								Hs.151845								
243260_x_at	BF111063	243260_x_at								Hs.197096								
243261_at	BF530486	243261_at								Hs.152290								
243262_at	AA434097	243262_at								Hs.371063								
243263_at	AW008416	243263_at								Hs.337496			Q8N8I6					
243264_s_at	AI634652	243264_s_at	ENSG00000157547		9624988		NM_019607			Hs.165741	56260		Q9NUM6					
243265_at	AW444497	243265_at								Hs.231829								
243266_at	AW205384	243266_at								Hs.253480								
243267_x_at	AI127295	243267_x_at								Hs.137274								
243268_at	AA884069	243268_at								Hs.369185								
243269_s_at	AL040346	243269_s_at								Hs.193743								
243270_at	AL040346	243270_at								Hs.193743								
243271_at	AI064690	243271_at								Hs.30627								
243272_at	AW663447	243272_at								Hs.99308								
243273_at	AW970985	243273_at								Hs.290853								
243274_x_at	AW083060	243274_x_at								Hs.124507								
243275_at	BE644666	243275_at								Hs.283320								
243276_at	AA557247	243276_at			22128651		NM_147129	MORN		Hs.293637	259173	IPR003409	Q8TEK5					
243277_x_at	AI458437	243277_x_at								Hs.177224								
243278_at	AW291402	243278_at																
243279_at	AI417007	243279_at								Hs.166338								
243280_at	AW444619	243280_at								Hs.138211								
243281_at	AW188311	243281_at								Hs.128619								
243282_at	AA504256	243282_at								Hs.194426								
243283_at	AW517412	243283_at								Hs.150757								
243284_at	AW272170	243284_at								Hs.254642								
243285_at	AI201723	243285_at								Hs.297749								
243286_at	AA682674	243286_at								Hs.380825								
243287_s_at	H04482	243287_s_at								Hs.417120								
243288_at	AW135582	243288_at								Hs.201767								
243289_at	AV703360	243289_at								Hs.429914								
243290_at	AV700541	243290_at								Hs.424278								
243291_at	AA700870	243291_at								Hs.14304								
243292_at	BF589994	243292_at								Hs.197613			Q9CQI8					
243293_at	AA765786	243293_at								Hs.120936								
243294_at	BE905253	243294_at								Hs.238936								
243295_at	N75450	243295_at	ENSG00000091009							Hs.61441	54439	IPR000504	Q9P2N5					
243296_at	AA873350	243296_at								Hs.176554								
243297_at	AI498610	243297_at								Hs.370882								
243298_at	AW243449	243298_at								Hs.127242								
243299_at	AW167087	243299_at								Hs.131562								
243300_at	BF509191	243300_at								Hs.221136								
243301_at	AW241910	243301_at								Hs.122254								
243302_at	AI452738	243302_at								Hs.132492								
243303_at	AA811657	243303_at								Hs.220913								
243304_at	AI733824	243304_at								Hs.356091								
243305_at	AA903710	243305_at								Hs.270050								
243306_s_at	BE276093	243306_s_at	ENSG00000169264		22208850		NM_024523	GRIP	607418	Hs.4783	79571	IPR000237	Q9H6N7				Q27480	
243307_at	AA916935	243307_at								Hs.126568								
243308_at	AA659016	243308_at								Hs.390602								
243309_at	AA398658	243309_at								Hs.97300			Q9D1B6					
243310_at	AI051572	243310_at								Hs.292222								
243311_at	BE044548	243311_at								Hs.344993								
243312_at	BF809517	243312_at								Hs.115789								
243313_at	AI141151	243313_at								Hs.414103								
243314_at	W90446	243314_at								Hs.137324								
243315_at	AW022267	243315_at								Hs.233383								
243316_x_at	AA004710	243316_x_at								Hs.114740								
243317_at	AA398544	243317_at								Hs.25935								
243318_at	AI208342	M95564_s_at	ENSG00000132716	PR00319			NM_015726	WD40		Hs.110707	50717	IPR001680	Q12839					
243319_at	AI274981	243319_at								Hs.43566								
243320_at	H09564	243320_at								Hs.23966								
243321_at	AA479749	243321_at								Hs.221233								
243322_at	AW444511	243322_at								Hs.151489								
243323_s_at	AI872979	243323_s_at								Hs.163208								
243324_x_at	Z38765	243324_x_at								Hs.100235								
243325_at	AV722006	243325_at								Hs.20152								
243326_at	AI138418	243326_at								Hs.370950								
243327_at	N74195	243327_at								Hs.381229								
243328_at	R14866	243328_at								Hs.285180								
243329_at	AI074450	243329_at								Hs.18106								
243330_at	AW304000	243330_at								Hs.271214								
243331_at	AW298101	243331_at								Hs.406072								
243332_at	BE972639	243332_at								Hs.404066								
243333_at	AI990016	243333_at								Hs.372337								
243334_at	BF224050	243334_at								Hs.208647								
243335_at	BE764796	243335_at																
243336_at	AA721729	243336_at								Hs.422647								
243337_at	BE223071	243337_at								Hs.388278								
243338_at	AI674461	243338_at								Hs.320305								
243339_at	AI796076	243339_at								Hs.101433								
243340_at	AI041161	243340_at								Hs.132111								
243341_at	N66045	243341_at								Hs.133529								
243342_at	AI611635	243342_at								Hs.370354								
243343_at	BG055267	243343_at																
243344_at	BE218142	243344_at								Hs.207074								
243345_at	AI492500	243345_at								Hs.170926								
243346_at	BF109621	243346_at								Hs.350621		IPR004934	Q96LS4					
